dataset,sensitive_feature,n_rows,n_features,dpd,eod_tpr_diff,eod_fpr_diff,eod
kdd,sex,284556,36,0.0435,0.0148,0.0123,0.0148
kdd,race,284556,36,0.1089,0.1433,0.1037,0.1433
kdd,age,284556,36,0.5016,1.0,0.5277,1.0
adult,gender,45222,10,0.1567,0.019,0.1031,0.1031
adult,race,45222,10,0.0855,0.1992,0.0793,0.1992
adult,age,45222,10,0.3456,0.6839,0.2373,0.6839
compas,Sex,9762,10,0.0648,0.1029,0.0439,0.1029
compas,Age,9762,10,0.414,0.6667,0.1071,0.6667
compas,Race,9762,10,0.1278,0.5,0.081,0.5
german,PersonStatusSex,1000,24,0.0671,0.2587,0.0886,0.2587
german,AgeInYears,1000,24,0.4282,1.0,0.4375,1.0
dutch,sex,60420,11,0.0344,0.0386,0.0006,0.0386
dutch,age,60420,11,0.4793,0.6364,0.1364,0.6364
communities_crime,Black,1994,17,0.0079,0.0,0.0,0.0
credit,SEX,30000,23,0.0202,0.0207,0.0131,0.0207
credit,AGE,30000,23,0.0279,0.0238,0.0415,0.0415
law_school,race,20798,11,0.1124,0.0084,0.0491,0.0491
law_school,male,20798,11,0.0071,0.0007,0.0023,0.0023
