dataset,method,baseline_mean,baseline_std,baseline_total_time_s,baseline_mean_time_s,method_mean,method_std,method_total_time_s,method_mean_time_s,p_value,significant
kdd,dt,0.5660000000000001,0.01258967831201414,2408.85,120.44,0.6556500000000001,0.03568091226412241,2465.63,123.28,1.9073486328125e-06,True
kdd,csp,0.5660000000000001,0.01258967831201414,2408.85,120.44,0.03950000000000001,0.006637017402418046,3107.95,155.4,8.832385863081277e-05,True
kdd,hybrid,0.5660000000000001,0.01258967831201414,2408.85,120.44,0.12145000000000002,0.012451807097766976,3006.46,150.32,8.794879347050151e-05,True
adult,dt,0.46814999999999996,0.017038999383766636,2310.49,115.52,0.5629500000000001,0.030861748168242175,2346.3,117.31,1.9073486328125e-06,True
adult,csp,0.46814999999999996,0.017038999383766636,2310.49,115.52,0.21795,0.014489565210868135,3046.34,152.32,8.832385863081277e-05,True
adult,hybrid,0.46814999999999996,0.017038999383766636,2310.49,115.52,0.26979999999999993,0.02831183498115232,3007.88,150.39,8.844915021211901e-05,True
compas,dt,0.5892999999999999,0.012071039723238435,2320.6,116.03,0.66615,0.021258586500517842,2315.41,115.77,8.819870204194453e-05,True
compas,csp,0.5892999999999999,0.012071039723238435,2320.6,116.03,0.4397500000000001,0.018236981658158243,3404.34,170.22,8.844915021211901e-05,True
compas,hybrid,0.5892999999999999,0.012071039723238435,2320.6,116.03,0.45669999999999994,0.028339195471996023,3201.4,160.07,8.832385863081277e-05,True
german,dt,0.38980000000000004,0.015377255932057575,2307.26,115.36,0.33819999999999995,0.028491402211895427,2321.04,116.05,0.00010320278396347189,True
german,csp,0.38980000000000004,0.015377255932057575,2307.26,115.36,0.23174999999999998,0.014972892172189044,3632.62,181.63,1.9073486328125e-06,True
german,hybrid,0.38980000000000004,0.015377255932057575,2307.26,115.36,0.28225,0.028156482379729175,3521.46,176.07,8.844915021211901e-05,True
dutch,dt,0.021950000000000004,0.004329838334164452,2322.28,116.11,0.135,0.056324950066555766,2331.59,116.58,5.7220458984375e-06,True
dutch,csp,0.021950000000000004,0.004329838334164452,2322.28,116.11,0.033150000000000006,0.0038245914814526265,2781.9,139.1,0.00010234368419466224,True
dutch,hybrid,0.021950000000000004,0.004329838334164452,2322.28,116.11,0.07605,0.032725334222892206,2779.92,139.0,0.00013162704518922692,True
communities_crime,dt,0.0,0.0,2312.15,115.61,0.0,0.0,2324.01,116.2,,False
communities_crime,csp,0.0,0.0,2312.15,115.61,0.0,0.0,2697.85,134.89,,False
communities_crime,hybrid,0.0,0.0,2312.15,115.61,0.0,0.0,2645.22,132.26,,False
credit,dt,0.07825,0.01079293750560986,2343.42,117.17,0.17750000000000002,0.031029824363022103,2329.47,116.47,8.844915021211901e-05,True
credit,csp,0.07825,0.01079293750560986,2343.42,117.17,0.15045000000000003,0.010389778630943012,3441.03,172.05,1.9073486328125e-06,True
credit,hybrid,0.07825,0.01079293750560986,2343.42,117.17,0.15869999999999998,0.02202748283395087,3308.92,165.45,8.819870204194453e-05,True
law_school,dt,0.0,0.0,2402.97,120.15,0.0004,0.0004898979485566357,2511.69,125.58,0.0046777349810472576,True
law_school,csp,0.0,0.0,2402.97,120.15,0.019850000000000003,0.0040283371259118815,2839.6,141.98,8.658390851382302e-05,True
law_school,hybrid,0.0,0.0,2402.97,120.15,0.017850000000000005,0.004901785389018985,2817.11,140.86,8.720229793087963e-05,True
